f1,f2,|r|
defending,defending_standing_tackle,0.978
defending_standing_tackle,defending_sliding_tackle,0.977
goalkeeping_diving,goalkeeping_reflexes,0.974
movement_acceleration,goalkeeping_speed,0.974
goalkeeping_diving,goalkeeping_handling,0.972
pace,movement_sprint_speed,0.972
goalkeeping_handling,goalkeeping_reflexes,0.972
dribbling,skill_dribbling,0.972
goalkeeping_positioning,goalkeeping_reflexes,0.972
goalkeeping_diving,goalkeeping_positioning,0.971
goalkeeping_handling,goalkeeping_positioning,0.971
goalkeeping_kicking,goalkeeping_reflexes,0.969
shooting,attacking_finishing,0.968
defending,mentality_interceptions,0.968
defending,defending_marking_awareness,0.968
goalkeeping_diving,goalkeeping_kicking,0.968
goalkeeping_handling,goalkeeping_kicking,0.968
goalkeeping_kicking,goalkeeping_positioning,0.967
defending,defending_sliding_tackle,0.964
pace,movement_acceleration,0.959
mentality_interceptions,defending_standing_tackle,0.952
skill_dribbling,skill_ball_control,0.944
mentality_interceptions,defending_sliding_tackle,0.941
defending_marking_awareness,defending_standing_tackle,0.94
movement_sprint_speed,goalkeeping_speed,0.938
mentality_interceptions,defending_marking_awareness,0.937
defending_marking_awareness,defending_sliding_tackle,0.933
shooting,power_long_shots,0.931
dribbling,skill_ball_control,0.924
movement_acceleration,movement_sprint_speed,0.924
attacking_short_passing,skill_ball_control,0.922
skill_dribbling,mentality_positioning,0.912
attacking_finishing,mentality_positioning,0.905
attacking_finishing,power_long_shots,0.903
attacking_finishing,attacking_volleys,0.9
