,dtype
sofifa_id,int64
player_url,object
short_name,object
long_name,object
player_positions,object
overall,int64
potential,int64
value_eur,float64
wage_eur,float64
age,int64
dob,object
height_cm,int64
weight_kg,int64
club_position,object
club_team_id,float64
club_name,object
league_name,object
league_level,float64
club_loaned_from,object
club_joined,object
club_jersey_number,float64
club_contract_valid_until,float64
nationality_name,object
nation_team_id,float64
nation_position,object
nation_jersey_number,float64
preferred_foot,object
weak_foot,int64
skill_moves,int64
international_reputation,int64
work_rate,object
body_type,object
release_clause_eur,float64
player_tags,object
player_traits,object
pace,float64
shooting,float64
passing,float64
dribbling,float64
defending,float64
physic,float64
attacking_crossing,int64
attacking_finishing,int64
attacking_heading_accuracy,int64
attacking_short_passing,int64
attacking_volleys,int64
skill_dribbling,int64
skill_curve,int64
skill_fk_accuracy,int64
skill_long_passing,int64
skill_ball_control,int64
movement_acceleration,int64
movement_sprint_speed,int64
movement_agility,int64
movement_reactions,int64
movement_balance,int64
power_shot_power,int64
power_jumping,int64
power_stamina,int64
power_strength,int64
power_long_shots,int64
mentality_aggression,int64
mentality_interceptions,int64
mentality_positioning,int64
mentality_vision,int64
mentality_penalties,int64
mentality_composure,int64
defending_marking_awareness,int64
defending_standing_tackle,int64
defending_sliding_tackle,int64
goalkeeping_diving,int64
goalkeeping_handling,int64
goalkeeping_kicking,int64
goalkeeping_positioning,int64
goalkeeping_reflexes,int64
goalkeeping_speed,float64
player_face_url,object
club_logo_url,object
nation_logo_url,object
nation_flag_url,object
primary_position,object
role_group,object
