sofifa_id,short_name,primary_position,role_group,overall,club_name,league_name,nationality_name,PTS
202126,H. Kane,ST,FWD,90,Tottenham Hotspur,English Premier League,England,91.5
20801,Cristiano Ronaldo,ST,FWD,91,Manchester United,English Premier League,Portugal,91.3
188545,R. Lewandowski,ST,FWD,92,FC Bayern München,German 1. Bundesliga,Poland,90.60000000000001
190871,Neymar Jr,LW,FWD,91,Paris Saint-Germain,French Ligue 1,Brazil,89.35000000000001
212198,Bruno Fernandes,CAM,MID,88,Manchester United,English Premier League,Portugal,88.89999999999999
192505,R. Lukaku,ST,FWD,88,Chelsea,English Premier League,Belgium,88.6
216354,A. Kramarić,ST,FWD,83,TSG Hoffenheim,German 1. Bundesliga,Croatia,87.8
204838,R. Jiménez,ST,FWD,83,Wolverhampton Wanderers,English Premier League,Mexico,87.44999999999999
228941,André Silva,ST,FWD,84,RB Leipzig,German 1. Bundesliga,Portugal,87.39999999999999
209331,M. Salah,RW,FWD,89,Liverpool,English Premier League,Egypt,87.05
192387,C. Immobile,ST,FWD,87,Lazio,Italian Serie A,Italy,86.9
208830,J. Vardy,ST,FWD,86,Leicester City,English Premier League,England,86.8
176580,L. Suárez,ST,FWD,88,Atlético de Madrid,Spain Primera Division,Uruguay,86.44999999999999
183574,M. Kruse,CF,FWD,81,1. FC Union Berlin,German 1. Bundesliga,Germany,86.4
165153,K. Benzema,CF,FWD,89,Real Madrid CF,Spain Primera Division,France,86.3
179813,E. Cavani,ST,FWD,85,Manchester United,English Premier League,Uruguay,86.15
178509,O. Giroud,ST,FWD,79,AC Milan,Italian Serie A,France,85.8
199110,L. Muriel,ST,FWD,82,Atalanta,Italian Serie A,Colombia,85.75
155862,Sergio Ramos,CB,DEF,88,Paris Saint-Germain,French Ligue 1,Spain,85.39999999999999
192985,K. De Bruyne,CM,MID,91,Manchester City,English Premier League,Belgium,85.35
189513,Parejo,CM,MID,86,Villarreal CF,Spain Primera Division,Spain,85.35
199451,W. Ben Yedder,ST,FWD,84,AS Monaco,French Ligue 1,France,85.35
189068,B. Dost,ST,FWD,77,Club Brugge KV,Belgian Jupiler Pro League,Netherlands,85.35
41236,Z. Ibrahimović,ST,FWD,84,AC Milan,Italian Serie A,Sweden,85.25
186627,M. Balotelli,ST,FWD,76,Adana Demirspor,Turkish Süper Lig,Italy,85.05
183277,E. Hazard,LW,FWD,85,Real Madrid CF,Spain Primera Division,Belgium,84.8
205693,S. Haller,ST,FWD,80,Ajax,Holland Eredivisie,Côte d'Ivoire,84.6
188567,P. Aubameyang,ST,FWD,85,Arsenal,English Premier League,Gabon,84.5
208093,Gerard Moreno,ST,FWD,86,Villarreal CF,Spain Primera Division,Spain,84.45
231677,M. Rashford,LM,MID,85,Manchester United,English Premier League,England,84.45
199434,D. Tadić,LW,FWD,84,Ajax,Holland Eredivisie,Serbia,84.35000000000001
186537,C. Stuani,ST,FWD,76,Girona FC,Spanish Segunda División,Uruguay,84.25
231747,K. Mbappé,ST,FWD,91,Paris Saint-Germain,French Ligue 1,France,84.2
171579,Raúl García,ST,FWD,80,Athletic Club de Bilbao,Spain Primera Division,Spain,84.15
230430,Oswaldinato,ST,FWD,81,Flamengo,Campeonato Brasileiro Série A,Brazil,83.89999999999999
230938,F. Kessié,CDM,MID,84,AC Milan,Italian Serie A,Côte d'Ivoire,83.8
158023,L. Messi,RW,FWD,93,Paris Saint-Germain,French Ligue 1,Argentina,83.75
209499,Fabinho,CDM,MID,86,Liverpool,English Premier League,Brazil,83.5
187072,L. Stindl,CAM,MID,82,Borussia Mönchengladbach,German 1. Bundesliga,Germany,83.5
201399,M. Icardi,ST,FWD,83,Paris Saint-Germain,French Ligue 1,Argentina,83.45
239085,E. Haaland,ST,FWD,88,Borussia Dortmund,German 1. Bundesliga,Norway,83.2
211110,P. Dybala,CF,FWD,87,Juventus,Italian Serie A,Argentina,83.2
198710,J. Rodríguez,RW,FWD,81,Everton,English Premier League,Colombia,83.2
192629,Iago Aspas,ST,FWD,84,RC Celta de Vigo,Spain Primera Division,Spain,83.15
230142,Oyarzabal,LW,FWD,85,Real Sociedad,Spain Primera Division,Spain,83.1
159261,F. Quagliarella,ST,FWD,78,U.C. Sampdoria,Italian Serie A,Italy,83.1
153079,S. Agüero,ST,FWD,87,FC Barcelona,Spain Primera Division,Argentina,83.05
152912,J. Sand,ST,FWD,75,Club Atlético Lanús,Argentina Primera División,Argentina,83.0
195859,D. Ings,ST,FWD,81,Aston Villa,English Premier League,England,82.89999999999999
138412,J. Milner,CM,MID,79,Liverpool,English Premier League,England,82.89999999999999
194209,Y. El Arabi,ST,FWD,79,Olympiacos CFP,Greek Super League,Morocco,82.8
195864,P. Pogba,CM,MID,87,Manchester United,English Premier League,France,82.60000000000001
159145,B. Gomis,ST,FWD,79,Al Hilal,Saudi Abdul L. Jameel League,France,82.55
192598,Ai Kesen,ST,FWD,79,Guangzhou FC,Chinese Super League,China PR,82.55
192906,L. Rodríguez,ST,FWD,79,Gimnasia y Esgrima La Plata,Argentina Primera División,Argentina,82.55
142707,L. López,ST,FWD,75,Racing Club,Argentina Primera División,Argentina,82.5
124375,B. Yılmaz,ST,FWD,81,LOSC Lille,French Ligue 1,Turkey,82.44999999999999
198219,L. Insigne,LW,FWD,86,Napoli,Italian Serie A,Italy,82.4
194765,A. Griezmann,ST,FWD,85,Atlético de Madrid,Spain Primera Division,France,82.35000000000001
207732,Roger,ST,FWD,80,Levante Unión Deportiva,Spain Primera Division,Spain,82.2
200260,S. Berghuis,RW,FWD,81,Ajax,Holland Eredivisie,Netherlands,82.14999999999999
205498,Jorginho,CM,MID,85,Chelsea,English Premier League,Italy,82.0
226110,N. Pépé,RM,MID,81,Arsenal,English Premier League,Côte d'Ivoire,81.89999999999999
177003,L. Modrić,CM,MID,87,Real Madrid CF,Spain Primera Division,Croatia,81.85
234153,Carlos Soler,CM,MID,81,Valencia CF,Spain Primera Division,Spain,81.80000000000001
195586,A. Finnbogason,ST,FWD,73,FC Augsburg,German 1. Bundesliga,Iceland,81.65
205632,L. Ocampos,LW,FWD,83,Sevilla FC,Spain Primera Division,Argentina,81.55
201519,J. Veretout,CDM,MID,82,Roma,Italian Serie A,France,81.55
194794,A. Yarmolenko,RM,MID,76,West Ham United,English Premier League,Ukraine,81.55
199354,Lucas Pérez,ST,FWD,79,Elche CF,Spain Primera Division,Spain,81.45
152879,M. Noble,CM,MID,75,West Ham United,English Premier League,England,81.35000000000001
215455,B. Petković,ST,FWD,76,Dinamo Zagreb,Croatian Prva HNL,Croatia,81.35
204493,R. Holzhauser,CAM,MID,73,K Beerschot VA,Belgian Jupiler Pro League,Austria,81.30000000000001
208418,Y. Carrasco,LM,MID,84,Atlético de Madrid,Spain Primera Division,Belgium,81.25
186942,İ. Gündoğan,CM,MID,85,Manchester City,English Premier League,Germany,81.2
168651,I. Rakitić,CM,MID,82,Sevilla FC,Spain Primera Division,Croatia,81.14999999999999
196978,C. Wilson,ST,FWD,79,Newcastle United,English Premier League,England,81.14999999999999
198031,Sérgio Oliveira,CM,MID,80,FC Porto,Portuguese Liga ZON SAGRES,Portugal,81.10000000000001
193301,A. Lacazette,ST,FWD,82,Arsenal,English Premier League,France,81.1
231969,R. Malinovskyi,CF,FWD,81,Atalanta,Italian Serie A,Ukraine,81.05
206304,L. Milivojević,CDM,MID,76,Crystal Palace,English Premier League,Serbia,81.0
200647,J. Iličić,CF,FWD,84,Atalanta,Italian Serie A,Slovenia,80.95
212382,P. Onuachu,ST,FWD,79,KRC Genk,Belgian Jupiler Pro League,Nigeria,80.95
200104,H. Son,LM,MID,89,Tottenham Hotspur,English Premier League,Korea Republic,80.8
154472,Jorge Molina,ST,FWD,77,Granada CF,Spain Primera Division,Spain,80.75
150516,L. Podolski,CAM,MID,73,Górnik Zabrze,Polish T-Mobile Ekstraklasa,Germany,80.65
205175,A. Milik,ST,FWD,81,Olympique de Marseille,French Ligue 1,Poland,80.64999999999999
199767,M. van Ginkel,CM,MID,76,PSV,Holland Eredivisie,Netherlands,80.60000000000001
192991,C. Tosun,ST,FWD,74,Everton,English Premier League,Turkey,80.6
188350,M. Reus,CAM,MID,85,Borussia Dortmund,German 1. Bundesliga,Germany,80.55
173731,G. Bale,RM,MID,82,Real Madrid CF,Spain Primera Division,Wales,80.45
211117,D. Alli,CAM,MID,80,Tottenham Hotspur,English Premier League,England,80.45
181872,A. Vidal,CM,MID,81,Inter,Italian Serie A,Chile,80.39999999999999
183125,T. Deeney,ST,FWD,74,Birmingham City,English League Championship,England,80.39999999999999
171828,I. Scocco,ST,FWD,75,Newell's Old Boys,Argentina Primera División,Argentina,80.3
175943,D. Mertens,CF,FWD,84,Napoli,Italian Serie A,Belgium,80.25
192123,C. Wood,ST,FWD,79,Burnley,English Premier League,New Zealand,80.19999999999999
210315,De Tomás,ST,FWD,79,RCD Espanyol de Barcelona,Spain Primera Division,Spain,80.19999999999999
167397,Falcao,ST,FWD,78,Rayo Vallecano,Spain Primera Division,Colombia,80.15
230440,Fredditinho,ST,FWD,78,Palmeiras,Campeonato Brasileiro Série A,Brazil,80.15
211300,A. Martial,ST,FWD,81,Manchester United,English Premier League,France,80.10000000000001
212188,T. Werner,ST,FWD,84,Chelsea,English Premier League,Germany,80.1
240679,T. Koopmeiners,CDM,MID,79,Atalanta,Italian Serie A,Netherlands,80.1
200155,H. Vanaken,CM,MID,78,Club Brugge KV,Belgian Jupiler Pro League,Belgium,80.05000000000001
208596,A. Belotti,ST,FWD,81,Torino F.C.,Italian Serie A,Italy,80.05
230294,Louri Beretta,ST,FWD,81,RB Bragantino,Campeonato Brasileiro Série A,Brazil,80.05
207877,J. Martínez,ST,FWD,80,Atlanta United,USA Major League Soccer,Venezuela,80.05
224179,Borja Iglesias,ST,FWD,80,Real Betis Balompié,Spain Primera Division,Spain,80.05
171975,G. Bergessio,ST,FWD,75,Club Nacional de Football,Uruguayan Primera División,Argentina,80.05
220085,L. Waldschmidt,CF,FWD,77,VfL Wolfsburg,German 1. Bundesliga,Germany,80.0
153244,A. Gignac,ST,FWD,81,Tigres U.A.N.L.,Mexican Liga MX,France,79.9
184200,M. Arnautović,ST,FWD,81,Bologna,Italian Serie A,Austria,79.85000000000001
237239,E. Bardhi,LM,MID,79,Levante Unión Deportiva,Spain Primera Division,North Macedonia,79.8
163828,A. Le Fondre,ST,FWD,70,Sydney FC,Australian Hyundai A-League,England,79.75
190286,Canales,CM,MID,83,Real Betis Balompié,Spain Primera Division,Spain,79.7
176600,K. Gameiro,ST,FWD,77,RC Strasbourg Alsace,French Ligue 1,France,79.7
216497,M. Philipp,CF,FWD,77,VfL Wolfsburg,German 1. Bundesliga,Germany,79.69999999999999
202556,M. Depay,CF,FWD,85,FC Barcelona,Spain Primera Division,Netherlands,79.65
215553,Henrique Dourado,ST,FWD,73,Henan Songshan Longmen FC,Chinese Super League,Brazil,79.6
185103,A. Kolarov,LB,DEF,78,Inter,Italian Serie A,Serbia,79.55
216475,Morales,ST,FWD,81,Levante Unión Deportiva,Spain Primera Division,Spain,79.5
223816,J. Rodríguez,ST,FWD,80,Cruz Azul,Mexican Liga MX,Uruguay,79.4
216594,N. Fekir,CAM,MID,84,Real Betis Balompié,Spain Primera Division,France,79.35000000000001
187754,Marlos,CAM,MID,81,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,79.3
188388,R. Boudebouz,CAM,MID,74,AS Saint-Étienne,French Ligue 1,Algeria,79.25
215062,E. Zelaya,ST,FWD,72,Damac FC,Saudi Abdul L. Jameel League,Argentina,79.25
186905,A. Barnes,ST,FWD,75,Burnley,English Premier League,England,79.2
231943,Richarlison,ST,FWD,82,Everton,English Premier League,Brazil,79.19999999999999
192318,M. Götze,CAM,MID,82,PSV,Holland Eredivisie,Germany,79.14999999999999
182521,T. Kroos,CM,MID,88,Real Madrid CF,Spain Primera Division,Germany,79.1
200610,K. Volland,ST,FWD,83,AS Monaco,French Ligue 1,Germany,79.1
231835,T. Henry,ST,FWD,74,Venezia FC,Italian Serie A,France,79.1
228687,K. Dolberg,ST,FWD,79,OGC Nice,French Ligue 1,Denmark,79.05
199626,André André,CM,MID,75,Vitória de Guimarães,Portuguese Liga ZON SAGRES,Portugal,79.05
251412,S. Weissman,ST,FWD,77,Real Valladolid CF,Spanish Segunda División,Israel,79.0
146439,Negredo,ST,FWD,78,Cádiz CF,Spain Primera Division,Spain,78.94999999999999
193983,A. Delort,ST,FWD,81,OGC Nice,French Ligue 1,Algeria,78.9
216433,A. El Ghazi,LM,MID,76,Aston Villa,English Premier League,Netherlands,78.89999999999999
240950,Pedro Gonçalves,RW,FWD,81,Sporting CP,Portuguese Liga ZON SAGRES,Portugal,78.85000000000001
146758,Soldado,ST,FWD,77,Levante Unión Deportiva,Spain Primera Division,Spain,78.85000000000001
197965,Pizzi,CM,MID,81,SL Benfica,Portuguese Liga ZON SAGRES,Portugal,78.7
236772,D. Szoboszlai,CAM,MID,77,RB Leipzig,German 1. Bundesliga,Hungary,78.7
195671,C. Austin,ST,FWD,72,Queens Park Rangers,English League Championship,England,78.7
203483,D. Klaassen,CAM,MID,79,Ajax,Holland Eredivisie,Netherlands,78.69999999999999
231478,L. Martínez,ST,FWD,85,Inter,Italian Serie A,Argentina,78.65
204276,T. Hemed,ST,FWD,69,Western Sydney Wanderers,Australian Hyundai A-League,Israel,78.64999999999999
207664,C. Bacca,ST,FWD,77,Granada CF,Spain Primera Division,Colombia,78.60000000000001
212462,Alex Telles,LB,DEF,82,Manchester United,English Premier League,Brazil,78.6
172114,D. Valeri,CAM,MID,77,Portland Timbers,USA Major League Soccer,Argentina,78.6
214781,S. Romero,ST,FWD,76,Club Atlético Independiente,Argentina Primera División,Argentina,78.6
258262,M. Tolić,CAM,MID,71,Dinamo Zagreb,Croatian Prva HNL,Croatia,78.6
230666,Gabriel Jesus,ST,FWD,83,Manchester City,English Premier League,Brazil,78.55
184484,G. Sigurðsson,CAM,MID,79,Everton,English Premier League,Iceland,78.55
161636,N. Ortigoza,CM,MID,70,San Lorenzo de Almagro,Argentina Primera División,Paraguay,78.55
204970,F. Thauvin,RW,FWD,80,Tigres U.A.N.L.,Mexican Liga MX,France,78.5
241788,M. Taremi,ST,FWD,79,FC Porto,Portuguese Liga ZON SAGRES,Iran,78.5
228251,L. Pellegrini,CAM,MID,81,Roma,Italian Serie A,Italy,78.45
198329,Rodrigo,CAM,MID,79,Leeds United,English Premier League,Spain,78.45
215689,A. Petagna,ST,FWD,76,Napoli,Italian Serie A,Italy,78.45
183580,N. Petersen,ST,FWD,75,Sport-Club Freiburg,German 1. Bundesliga,Germany,78.44999999999999
185422,J. King,ST,FWD,75,Watford,English Premier League,Norway,78.44999999999999
226537,V. Janssen,ST,FWD,75,CF Monterrey,Mexican Liga MX,Netherlands,78.44999999999999
181820,S. Jovetić,ST,FWD,77,Hertha BSC,German 1. Bundesliga,Montenegro,78.39999999999999
216452,Gonçalo Paciência,ST,FWD,75,Eintracht Frankfurt,German 1. Bundesliga,Portugal,78.39999999999999
221174,M. Oršić,LM,MID,77,Dinamo Zagreb,Croatian Prva HNL,Croatia,78.35
184826,Adrien Silva,CM,MID,76,U.C. Sampdoria,Italian Serie A,Portugal,78.35
190919,F. Montero,ST,FWD,72,Seattle Sounders FC,USA Major League Soccer,Colombia,78.35
45186,Joaquín,RM,MID,81,Real Betis Balompié,Spain Primera Division,Spain,78.3
230449,Diegildo Ramos,ST,FWD,74,Flamengo,Campeonato Brasileiro Série A,Brazil,78.3
192663,F. Klos,ST,FWD,73,DSC Arminia Bielefeld,German 1. Bundesliga,Germany,78.3
230481,Ronaldo Cabrais,CAM,MID,83,Grêmio,Campeonato Brasileiro Série A,Brazil,78.25
181458,I. Perišić,LM,MID,81,Inter,Italian Serie A,Croatia,78.25
195479,J. Tavernier,RB,DEF,77,Rangers FC,Scottish Premiership,England,78.24999999999999
206651,Roberto Torres,RM,MID,78,CA Osasuna,Spain Primera Division,Spain,78.2
213613,S. Gustafson,CM,MID,71,FC Utrecht,Holland Eredivisie,Sweden,78.2
211703,M. Schnatterer,RM,MID,68,SV Waldhof Mannheim 07,German 3. Bundesliga,Germany,78.2
199247,Álex Fernández,CAM,MID,75,Cádiz CF,Spain Primera Division,Spain,78.19999999999999
199602,J. Guidetti,ST,FWD,73,Deportivo Alavés,Spain Primera Division,Sweden,78.15
223689,W. Weghorst,ST,FWD,83,VfL Wolfsburg,German 1. Bundesliga,Netherlands,78.14999999999999
233731,A. Isak,ST,FWD,82,Real Sociedad,Spain Primera Division,Sweden,78.14999999999999
221479,D. Calvert-Lewin,ST,FWD,81,Everton,English Premier League,England,78.1
197242,G. Krychowiak,CDM,MID,80,,,Poland,78.1
223578,Mata,ST,FWD,79,Getafe CF,Spain Primera Division,Spain,78.05
215353,L. Alario,ST,FWD,78,Bayer 04 Leverkusen,German 1. Bundesliga,Argentina,78.05
212228,I. Toney,ST,FWD,76,Brentford,English Premier League,England,78.05
208722,S. Mané,LW,FWD,89,Liverpool,English Premier League,Senegal,78.0
210935,D. Berardi,RW,FWD,82,U.S. Sassuolo Calcio,Italian Serie A,Italy,78.0
211784,N. Maupay,ST,FWD,77,Brighton & Hove Albion,English Premier League,France,78.0
197445,D. Alaba,CB,DEF,84,Real Madrid CF,Spain Primera Division,Austria,77.95
201153,Morata,ST,FWD,83,Juventus,Italian Serie A,Spain,77.95
203980,K. Fortounis,CAM,MID,80,Olympiacos CFP,Greek Super League,Greece,77.94999999999999
183898,Á. Di María,RW,FWD,87,Paris Saint-Germain,French Ligue 1,Argentina,77.9
203486,T. Hazard,LM,MID,82,Borussia Dortmund,German 1. Bundesliga,Belgium,77.89999999999999
205678,E. Višća,RM,MID,81,İstanbul Başakşehir FK,Turkish Süper Lig,Bosnia and Herzegovina,77.89999999999999
208128,H. Çalhanoğlu,CAM,MID,82,Inter,Italian Serie A,Turkey,77.85000000000001
178088,Juan Mata,CAM,MID,78,Manchester United,English Premier League,Spain,77.85000000000001
223197,E. Ünal,ST,FWD,75,Getafe CF,Spain Primera Division,Turkey,77.85000000000001
220710,H. Wilson,CAM,MID,75,Fulham,English League Championship,Wales,77.85
178562,É. Banega,CDM,MID,82,Al Shabab,Saudi Abdul L. Jameel League,Argentina,77.8
217699,I. Slimani,ST,FWD,76,Olympique Lyonnais,French Ligue 1,Algeria,77.8
205569,J. Ward-Prowse,CM,MID,81,Southampton,English Premier League,England,77.75
219953,Embarba,RM,MID,80,RCD Espanyol de Barcelona,Spain Primera Division,Spain,77.75
216393,Y. Tielemans,CM,MID,84,Leicester City,English Premier League,Belgium,77.7
