sofifa_id,short_name,primary_position,overall,club_name,league_name,nationality_name,GPS
200389,J. Oblak,GK,91,Atlético de Madrid,Spain Primera Division,Slovenia,89.14999999999999
192448,M. ter Stegen,GK,90,FC Barcelona,Spain Primera Division,Germany,88.44999999999999
230621,G. Donnarumma,GK,89,Paris Saint-Germain,French Ligue 1,Italy,88.4
167495,M. Neuer,GK,90,FC Bayern München,German 1. Bundesliga,Germany,88.10000000000001
212831,Alisson,GK,89,Liverpool,English Premier League,Brazil,88.10000000000001
193041,K. Navas,GK,88,Paris Saint-Germain,French Ligue 1,Costa Rica,87.95
210257,Ederson,GK,89,Manchester City,English Premier League,Brazil,87.45
167948,H. Lloris,GK,87,Tottenham Hotspur,English Premier League,France,87.45
186153,W. Szczęsny,GK,87,Juventus,Italian Serie A,Poland,86.4
192119,T. Courtois,GK,89,Real Madrid CF,Spain Primera Division,Belgium,86.25000000000001
163587,K. Schmeichel,GK,85,Leicester City,English Premier League,Denmark,85.7
162835,S. Handanovič,GK,86,Inter,Italian Serie A,Slovenia,85.4
192984,K. Casteels,GK,86,VfL Wolfsburg,German 1. Bundesliga,Belgium,85.3
190941,L. Hrádecký,GK,83,Bayer 04 Leverkusen,German 1. Bundesliga,Finland,84.75000000000001
193080,De Gea,GK,84,Manchester United,English Premier League,Spain,84.35000000000001
185122,P. Gulácsi,GK,85,RB Leipzig,German 1. Bundesliga,Hungary,84.35
215698,M. Maignan,GK,84,AC Milan,Italian Serie A,France,84.2
202811,E. Martínez,GK,84,Aston Villa,English Premier League,Argentina,84.0
192563,B. Leno,GK,83,Arsenal,English Premier League,Germany,83.64999999999999
177683,Y. Sommer,GK,85,Borussia Mönchengladbach,German 1. Bundesliga,Switzerland,83.60000000000001
199482,A. Lopes,GK,82,Olympique Lyonnais,French Ligue 1,Portugal,83.5
204935,J. Pickford,GK,83,Everton,English Premier League,England,83.05
193105,A. Areola,GK,82,West Ham United,English Premier League,France,83.0
178750,Sergio Asenjo,GK,83,Villarreal CF,Spain Primera Division,Spain,82.80000000000001
234642,É. Mendy,GK,83,Chelsea,English Premier League,Senegal,82.65
188943,K. Trapp,GK,82,Eintracht Frankfurt,German 1. Bundesliga,Germany,82.60000000000001
203841,N. Pope,GK,83,Burnley,English Premier League,England,82.39999999999999
211990,O. Vlachodimos,GK,81,SL Benfica,Portuguese Liga ZON SAGRES,Greece,82.3
214979,J. Musso,GK,81,Atalanta,Italian Serie A,Argentina,82.29999999999998
209981,Y. Bounou,GK,82,Sevilla FC,Spain Primera Division,Morocco,82.25
230869,Unai Simón,GK,82,Athletic Club de Bilbao,Spain Primera Division,Spain,82.15
241671,D. Livaković,GK,82,Dinamo Zagreb,Croatian Prva HNL,Croatia,82.15
204120,T. Vaclík,GK,81,Olympiacos CFP,Greek Super League,Czech Republic,82.0
193314,Aitor,GK,81,Levante Unión Deportiva,Spain Primera Division,Spain,81.80000000000001
189117,R. Bürki,GK,80,Borussia Dortmund,German 1. Bundesliga,Switzerland,81.8
227127,Álex Remiro,GK,81,Real Sociedad,Spain Primera Division,Spain,81.70000000000002
211515,P. Gollini,GK,82,Tottenham Hotspur,English Premier League,Italy,81.65
201095,A. Marchesín,GK,81,FC Porto,Portuguese Liga ZON SAGRES,Argentina,81.65
205659,A. Cragno,GK,81,Cagliari,Italian Serie A,Italy,81.6
210385,Rui Silva,GK,81,Real Betis Balompié,Spain Primera Division,Portugal,81.6
164835,Ł. Fabiański,GK,82,West Ham United,English Premier League,Poland,81.5
178005,Rui Patrício,GK,82,Roma,Italian Serie A,Portugal,81.3
212151,T. Strakosha,GK,80,Lazio,Italian Serie A,Albania,81.14999999999999
193698,O. Baumann,GK,82,TSG Hoffenheim,German 1. Bundesliga,Germany,81.05000000000001
163489,A. Consigli,GK,81,U.S. Sassuolo Calcio,Italian Serie A,Italy,81.05000000000001
223952,David Soria,GK,81,Getafe CF,Spain Primera Division,Spain,81.05000000000001
168435,S. Sirigu,GK,82,Genoa,Italian Serie A,Italy,80.95
214584,F. Armani,GK,80,River Plate,Argentina Primera División,Argentina,80.80000000000001
173426,S. Mignolet,GK,80,Club Brugge KV,Belgian Jupiler Pro League,Belgium,80.75000000000001
194404,Neto,GK,82,FC Barcelona,Spain Primera Division,Brazil,80.7
215223,W. Benítez,GK,80,OGC Nice,French Ligue 1,Argentina,80.65
163705,S. Mandanda,GK,81,Olympique de Marseille,French Ligue 1,France,80.6
236583,J. Pavlenka,GK,80,SV Werder Bremen,German 2. Bundesliga,Czech Republic,80.45
176550,D. Ospina,GK,79,Napoli,Italian Serie A,Colombia,80.39999999999999
208104,Matheus,GK,79,SC Braga,Portuguese Liga ZON SAGRES,Brazil,80.35
198009,M. Perin,GK,80,Juventus,Italian Serie A,Italy,80.30000000000001
209960,Pacheco,GK,80,Deportivo Alavés,Spain Primera Division,Spain,80.30000000000001
233306,D. Henderson,GK,80,Manchester United,English Premier League,England,80.25000000000001
221087,Pau López,GK,80,Olympique de Marseille,French Ligue 1,Spain,80.15
190745,M. Silvestri,GK,79,Udinese Calcio,Italian Serie A,Italy,80.15
140233,G. Ochoa,GK,80,Club América,Mexican Liga MX,Mexico,80.10000000000001
199987,J. Cillessen,GK,81,Valencia CF,Spain Primera Division,Netherlands,80.05000000000001
230168,Raphaelinho Anjos,GK,82,RB Bragantino,Campeonato Brasileiro Série A,Brazil,79.95
148119,I. Akinfeev,GK,80,PFC CSKA Moscow,Russian Premier League,Russia,79.94999999999999
226300,U. Çakır,GK,79,Trabzonspor,Turkish Süper Lig,Turkey,79.85000000000001
