club_name,PTS_club,GPS_club,Delta,Zdiff,n_takers,n_gk,enough_data,label
FC Barcelona,81.35,88.44999999999999,-7.099999999999994,-0.8915066856538676,33,4,True,GK >> takers
Rosenborg BK,67.32499999999999,75.39999999999999,-8.075000000000003,-0.25057833577032396,24,3,True,GK >> takers
SønderjyskE,60.72500000000001,68.85000000000001,-8.125,0.10360432268031594,27,2,True,GK >> takers
FC St. Gallen 1879,62.825,71.25,-8.424999999999997,-0.04971190476273046,28,3,True,GK >> takers
PFC CSKA Moscow,71.4,79.94999999999999,-8.549999999999983,-0.5343076655194208,26,3,True,GK >> takers
Bayer 04 Leverkusen,76.15,84.75000000000001,-8.600000000000009,-0.8002683697058877,27,3,True,GK >> takers
IK Sirius,60.574999999999996,69.6,-9.024999999999999,-0.003928087489412646,26,3,True,GK >> takers
PEC Zwolle,64.5,73.55,-9.049999999999997,-0.22159762126436378,30,3,True,GK >> takers
Club Independiente Santa Fe,60.25,69.45,-9.200000000000003,-0.008673371816138586,25,3,True,GK >> takers
Ulsan Hyundai FC,66.475,76.75,-10.275000000000006,-0.48702688390454085,28,3,True,GK >> takers
Philadelphia Union,66.85,77.6,-10.75,-0.5685949412521139,29,4,True,GK >> takers
Manchester United,90.1,84.35000000000001,5.749999999999986,0.28274985305836475,33,4,True,balanced
Newell's Old Boys,78.9,74.55,4.3500000000000085,0.7146759413237818,28,3,True,balanced
AS Monaco,82.225,78.2,4.0249999999999915,0.49121327077716415,27,3,True,balanced
RC Celta de Vigo,79.15,75.20000000000002,3.9499999999999886,0.6495816681449103,33,3,True,balanced
RCD Espanyol de Barcelona,78.975,75.15,3.8249999999999886,0.6430699975269567,33,3,True,balanced
US Salernitana 1919,76.80000000000001,73.05000000000001,3.75,0.7522640313375768,27,3,True,balanced
Cruz Azul,77.25,73.65,3.5999999999999943,0.7083888266541383,27,3,True,balanced
PSV,79.875,76.5,3.375,0.5360315652552048,30,5,True,balanced
Vitória de Guimarães,76.375,73.05,3.325000000000003,0.7208358603424081,30,3,True,balanced
