feature,mi,rf_importance,rank_mi,rank_rf,rank_sum
defend_idx,0.8107009126405074,0.1293018232376299,1.0,1.0,2.0
attack_idx,0.618770740073844,0.09934706020395827,2.0,2.0,4.0
dribble_idx,0.579440801539548,0.08289836795570898,3.0,3.0,6.0
playmake_idx,0.4957829969898855,0.08097257912468489,4.0,4.0,8.0
pace_idx,0.48793645893816917,0.08020463651635798,6.0,5.0,11.0
phys_idx,0.3833337255457048,0.06421210330644599,7.0,6.0,13.0
gk_idx,0.34950921657820455,0.06146148223303107,8.0,7.0,15.0
height_cm,0.2537090777131543,0.04838279446687819,9.0,8.0,17.0
weight_kg,0.19109827955178016,0.04527152657461882,10.0,9.0,19.0
skill_moves,0.48795828575284794,0.03391680912392371,5.0,15.0,20.0
preferred_foot,0.1207006038405957,0.04255948238107119,12.0,11.0,23.0
body_type,0.1120618644654354,0.034898217759576834,13.0,14.0,27.0
overall,0.0017129838903446881,0.044330329341872,19.0,10.0,29.0
potential,0.005046418662217,0.04114465826393414,18.0,12.0,30.0
age,0.007267913479785282,0.039732373209708384,17.0,13.0,30.0
work_att,0.142614697263848,0.01020436814066079,11.0,19.0,30.0
work_rate,0.08585504422444772,0.030384309329473298,15.0,16.0,31.0
work_def,0.11132142620618257,0.010241757921689878,14.0,18.0,32.0
weak_foot,0.06618843469217728,0.016877435488864653,16.0,17.0,33.0
international_reputation,0.0,0.003657885419911043,20.0,20.0,40.0
