scenario,model,features,fold,acc_any,top2_any,group_acc,avg_cost_any,macro_f1,balanced_acc
A48_no_leak,ens_lr_hgb,48.0,3.0,0.880710593579057,0.947647933489624,0.9566597204133022,0.20596996559433883,0.5126605726262634,0.5250706951780495
A48_no_leak,ens_lr_xgb_hgb,48.0,3.0,0.8800854307762439,0.9471791427889207,0.9567118173135365,0.20649093459668316,0.5054033438921004,0.5197774453847192
A48_no_leak,flat_lr,48.0,3.0,0.8773247156377529,0.9488457823217852,0.9546803502431189,0.21331458387600938,0.5226201748395425,0.5312921978946861
A48_no_leak,flat_xgb,48.0,3.0,0.8661249810063385,0.941657590409829,0.952752927737258,0.2283691635191456,0.4860620688273613,0.49982142786432887
A48_no_leak,hier_xgb,48.0,3.0,0.8596661592645655,0.9384803035729791,0.9440541292220196,0.25222558229139536,0.4904173134873139,0.5014390609895532
A48_no_leak,flat_hgb,48.0,3.0,0.8560712696448729,0.9351457627854476,0.9496796176304594,0.24456949509420856,0.4630648873737263,0.47851711721990753
A48_no_leak,hier_hgb,48.0,3.0,0.8503937928714075,0.9343128907267518,0.9406161950811842,0.26837381696622387,0.4750230201467751,0.48879563608842097
A48_no_leak,flat_rf,48.0,3.0,0.8486226339324476,0.934416867456803,0.9451999218546497,0.260977522358253,0.4647300517404377,0.4801514129016245
A48_with_leak,ens_lr_hgb,50.0,3.0,0.9002450996353216,0.9577536739168186,0.9639526623686724,0.1718495756273335,0.5835000980591384,0.5745190793528472
A48_with_leak,flat_lr,50.0,3.0,0.8992550143266476,0.9597331254884084,0.9634838445341669,0.17377729660501867,0.6020970812302179,0.5904460588585874
A48_with_leak,ens_lr_xgb_hgb,50.0,3.0,0.8986821519275854,0.9569722475471043,0.9642130790353391,0.17289169000173657,0.5761512442251107,0.5681477489134851
A48_with_leak,flat_xgb,50.0,3.0,0.8849298455543979,0.9498879373968915,0.9604102902231484,0.19424957399930537,0.5500090595885117,0.544219484241282
A48_with_leak,hier_xgb,50.0,3.0,0.879304479248068,0.947492063362855,0.9524409161456976,0.2158136884605366,0.546804148171549,0.5434722239244432
A48_with_leak,flat_hgb,50.0,3.0,0.8722720760614744,0.9460854606234262,0.9565556351480421,0.2146166536424416,0.5026856435327666,0.5066907071825413
A48_with_leak,hier_hgb,50.0,3.0,0.8694594946600678,0.9443666292220196,0.9481174296691848,0.2343056460015629,0.5173412282639662,0.5213950908527657
A48_with_leak,flat_rf,50.0,3.0,0.8598742483936789,0.9405635690718069,0.9498879238299904,0.2403499039463402,0.4874696547803155,0.49672997913700057
B42_no_leak,ens_lr_hgb,41.0,3.0,0.8802936420074673,0.9478042106234262,0.9563991816445254,0.2069079947034818,0.5114371962100656,0.5237902958150545
B42_no_leak,ens_lr_xgb_hgb,41.0,3.0,0.8801894210731962,0.946710284253712,0.9566595983111922,0.20649138230441957,0.5048945191344849,0.5195168109695234
B42_no_leak,flat_lr,41.0,3.0,0.8763870392680385,0.9492104741903272,0.9549928909438222,0.2136271788443171,0.5217648429280248,0.5303094312729841
B42_no_leak,flat_xgb,41.0,3.0,0.8651873860380308,0.9394698190718069,0.9525446215377269,0.22972337088651557,0.48779167657343203,0.5008445014265199
B42_no_leak,hier_xgb,41.0,3.0,0.8609164170356864,0.9376990264391768,0.944314898628115,0.2504537857080837,0.48990341064110055,0.5010055644842055
B42_no_leak,flat_rf,41.0,3.0,0.8534149789441695,0.9362922337631329,0.948116941260745,0.25035113853434054,0.4686136556609221,0.4840685576769842
B42_no_leak,flat_hgb,41.0,3.0,0.8533103917035687,0.9362400554614917,0.9477002067595729,0.2512891947772858,0.4585292173110832,0.47469861873917385
B42_no_leak,hier_hgb,41.0,3.0,0.8507066049101327,0.9353549779673527,0.9398351892854041,0.2696230165190588,0.47550467175743905,0.48798460859183973
B42_with_leak,ens_lr_hgb,43.0,3.0,0.900713876769124,0.9586391448510897,0.9639526488017713,0.17138082562733353,0.5829110291443194,0.5743191987096247
B42_with_leak,ens_lr_xgb_hgb,43.0,3.0,0.8993593437961275,0.9570242766128333,0.96452559260224,0.1715894709993922,0.5766159060528772,0.5685665565573285
B42_with_leak,flat_lr,43.0,3.0,0.8979006848571677,0.959316377420335,0.9632754976339324,0.17554831987496744,0.60261025450268,0.5909210190581535
B42_with_leak,flat_xgb,43.0,3.0,0.8850862040896066,0.9495753152947817,0.9600455983546062,0.19482259920118086,0.5513294904408572,0.5445291268369588
B42_with_leak,hier_xgb,43.0,3.0,0.8797211730485369,0.9482732455283494,0.9539515905834852,0.21237564578449247,0.5467862429664242,0.5426279411562707
B42_with_leak,hier_hgb,43.0,3.0,0.872688742728141,0.9459292920248329,0.9511385479074411,0.22503416145697663,0.5218762130383812,0.5246801431971059
B42_with_leak,flat_hgb,43.0,3.0,0.8726885663584267,0.9461374489884518,0.9566598289485109,0.21399177574455153,0.5058614953192648,0.5087750088976695
B42_with_leak,flat_rf,43.0,3.0,0.8648748996049317,0.9434286136797777,0.9520758715377269,0.2309733573196145,0.49655274859565657,0.5040248204081931
