scenario,model,features,fold,acc_any,top2_any,group_acc,avg_cost_any,macro_f1,balanced_acc
B42_no_leak,flat_lr,41.0,1.0,0.87109375,0.9510416666666667,0.9546875,0.21953125,0.5318426491318697,0.5389419361254987
B42_no_leak,flat_lr,41.0,2.0,0.8796875,0.95390625,0.9567708333333333,0.20677083333333332,0.5191394672798328,0.5292292698764098
B42_no_leak,flat_lr,41.0,3.0,0.878614222453764,0.9473821307632196,0.9536337587913519,0.21411825996353218,0.5178672488536995,0.5266270615434163
B42_no_leak,flat_lr,41.0,4.0,0.8804376139619693,0.9481635842667361,0.9572805418077625,0.20500130242250586,0.5267006029966624,0.535071997138972
B42_no_leak,flat_lr,41.0,5.0,0.8721021099244595,0.9455587392550143,0.9525918207866632,0.2227142485022141,0.5132742463780597,0.5216768916806238
B42_no_leak,flat_rf,41.0,1.0,0.8447916666666667,0.9338541666666667,0.94609375,0.2630208333333333,0.4691043043031701,0.4837557363912948
B42_no_leak,flat_rf,41.0,2.0,0.8546875,0.93671875,0.94921875,0.246875,0.457021144273714,0.4755193188624817
B42_no_leak,flat_rf,41.0,3.0,0.8562125553529565,0.938004688721021,0.9460797082573587,0.25162802813232615,0.4726071930923653,0.48886702693028
B42_no_leak,flat_rf,41.0,4.0,0.8572544933576453,0.9343579057046105,0.9481635842667361,0.24641833810888253,0.47215556786276075,0.48687777592030945
B42_no_leak,flat_rf,41.0,5.0,0.8541286793435791,0.9385256577233655,0.9510289137796301,0.24381349309716072,0.4721800687726004,0.4853229302805552
B42_no_leak,flat_hgb,41.0,1.0,0.85234375,0.93515625,0.94609375,0.25546875,0.4593652298723224,0.47939228847287624
B42_no_leak,flat_hgb,41.0,2.0,0.8546875,0.9369791666666667,0.9484375,0.2484375,0.4561641371962602,0.46987109031799495
B42_no_leak,flat_hgb,41.0,3.0,0.8593383693670227,0.9351393592081271,0.9468611617608752,0.24693930711122689,0.4568488808920614,0.4758460535311037
B42_no_leak,flat_hgb,41.0,4.0,0.8510028653295129,0.9353998437092993,0.9463401927585309,0.2563167491534254,0.4634604057652653,0.47895531558628346
