sofifa_id,short_name,long_name,age,overall,potential,value_eur,wage_eur,club_name,league_name,nationality_name,primary_position
192985,K. De Bruyne,Kevin De Bruyne,30,91,91,125500000.0,350000.0,Manchester City,English Premier League,Belgium,CM
165153,K. Benzema,Karim Benzema,33,89,89,66000000.0,350000.0,Real Madrid CF,Spain Primera Division,France,CF
158023,L. Messi,Lionel Andrés Messi Cuccittini,34,93,93,78000000.0,320000.0,Paris Saint-Germain,French Ligue 1,Argentina,RW
200145,Casemiro,Carlos Henrique Venancio Casimiro,29,89,89,88000000.0,310000.0,Real Madrid CF,Spain Primera Division,Brazil,CDM
182521,T. Kroos,Toni Kroos,31,88,88,75000000.0,310000.0,Real Madrid CF,Spain Primera Division,Germany,CM
202652,R. Sterling,Raheem Sterling,26,88,89,107500000.0,290000.0,Manchester City,English Premier League,England,LW
188545,R. Lewandowski,Robert Lewandowski,32,92,92,119500000.0,270000.0,FC Bayern München,German 1. Bundesliga,Poland,ST
190871,Neymar Jr,Neymar da Silva Santos Júnior,29,91,91,129000000.0,270000.0,Paris Saint-Germain,French Ligue 1,Brazil,LW
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,36,91,91,45000000.0,270000.0,Manchester United,English Premier League,Portugal,ST
208722,S. Mané,Sadio Mané,29,89,89,101000000.0,270000.0,Liverpool,English Premier League,Senegal,LW
209331,M. Salah,Mohamed Salah Ghaly,29,89,89,101000000.0,270000.0,Liverpool,English Premier League,Egypt,RW
192505,R. Lukaku,Romelu Lukaku Menama,28,88,88,93500000.0,260000.0,Chelsea,English Premier League,Belgium,ST
153079,S. Agüero,Sergio Leonel Agüero del Castillo,33,87,87,51000000.0,260000.0,FC Barcelona,Spain Primera Division,Argentina,ST
192448,M. ter Stegen,Marc-André ter Stegen,29,90,92,99000000.0,250000.0,FC Barcelona,Spain Primera Division,Germany,GK
192119,T. Courtois,Thibaut Courtois,29,89,91,85500000.0,250000.0,Real Madrid CF,Spain Primera Division,Belgium,GK
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,26,88,89,107500000.0,250000.0,Manchester United,English Premier League,Portugal,CAM
202126,H. Kane,Harry Kane,27,90,90,129500000.0,240000.0,Tottenham Hotspur,English Premier League,England,ST
183277,E. Hazard,Eden Hazard,30,85,85,52000000.0,240000.0,Real Madrid CF,Spain Primera Division,Belgium,LW
231747,K. Mbappé,Kylian Mbappé Lottin,22,91,95,194000000.0,230000.0,Paris Saint-Germain,French Ligue 1,France,ST
215914,N. Kanté,N'Golo Kanté,30,90,90,100000000.0,230000.0,Chelsea,English Premier League,France,CDM
203376,V. van Dijk,Virgil van Dijk,29,89,89,86000000.0,230000.0,Liverpool,English Premier League,Netherlands,CB
200104,H. Son,손흥민 孙兴慜,28,89,89,104000000.0,220000.0,Tottenham Hotspur,English Premier League,Korea Republic,LM
195864,P. Pogba,Paul Pogba,28,87,87,79500000.0,220000.0,Manchester United,English Premier League,France,CM
204485,R. Mahrez,Riyad Mahrez,30,86,86,65500000.0,220000.0,Manchester City,English Premier League,Algeria,RW
202556,M. Depay,Memphis Depay,27,85,86,63000000.0,220000.0,FC Barcelona,Spain Primera Division,Netherlands,CF
194765,A. Griezmann,Antoine Griezmann,30,85,85,53000000.0,220000.0,Atlético de Madrid,Spain Primera Division,France,ST
228702,F. de Jong,Frenkie de Jong,24,87,92,119500000.0,210000.0,FC Barcelona,Spain Primera Division,Netherlands,CM
204963,Carvajal,Daniel Carvajal Ramos,29,85,85,47500000.0,210000.0,Real Madrid CF,Spain Primera Division,Spain,RB
210257,Ederson,Ederson Santana de Moraes,27,89,91,94000000.0,200000.0,Manchester City,English Premier League,Brazil,GK
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,26,86,87,80000000.0,200000.0,Manchester City,English Premier League,Portugal,CAM
189332,Jordi Alba,Jordi Alba Ramos,32,86,86,47000000.0,200000.0,FC Barcelona,Spain Primera Division,Spain,LB
189511,Sergio Busquets,Sergio Busquets i Burgos,32,86,86,45000000.0,200000.0,FC Barcelona,Spain Primera Division,Spain,CDM
197445,D. Alaba,David Olatukunbo Alaba,29,84,84,35500000.0,195000.0,Real Madrid CF,Spain Primera Division,Austria,CB
212831,Alisson,Alisson Ramsés Becker,28,89,90,82000000.0,190000.0,Liverpool,English Premier League,Brazil,GK
177003,L. Modrić,Luka Modrić,35,87,87,32000000.0,190000.0,Real Madrid CF,Spain Primera Division,Croatia,CM
179813,E. Cavani,Edinson Roberto Cavani Gómez,34,85,85,26000000.0,190000.0,Manchester United,English Premier League,Uruguay,ST
220834,Marco Asensio,Marco Asensio Willemsen,25,83,86,48000000.0,190000.0,Real Madrid CF,Spain Primera Division,Spain,RW
210514,João Cancelo,João Pedro Cavaco Cancelo,27,86,87,71500000.0,185000.0,Manchester City,English Premier League,Portugal,RB
212218,A. Laporte,Aymeric Laporte,27,86,89,77000000.0,185000.0,Manchester City,English Premier League,Spain,CB
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,29,85,85,54000000.0,185000.0,Liverpool,English Premier League,Brazil,CF
186942,İ. Gündoğan,İlkay Gündoğan,30,85,85,51500000.0,185000.0,Manchester City,English Premier League,Germany,CM
201535,R. Varane,Raphaël Varane,28,86,88,68500000.0,180000.0,Manchester United,English Premier League,France,CB
189509,Thiago,Thiago Alcântara do Nascimento,30,86,86,65000000.0,180000.0,Liverpool,English Premier League,Spain,CM
208830,J. Vardy,Jamie Vardy,34,86,86,33000000.0,180000.0,Leicester City,English Premier League,England,ST
206517,J. Grealish,Jack Grealish,25,84,85,50500000.0,180000.0,Manchester City,English Premier League,England,LW
216267,A. Robertson,Andrew Robertson,27,87,88,83500000.0,175000.0,Liverpool,English Premier League,Scotland,LB
231866,Rodri,Rodrigo Hernández Cascante,25,86,89,81000000.0,175000.0,Manchester City,English Premier League,Spain,CDM
152729,Piqué,Gerard Piqué Bernabéu,34,84,84,13500000.0,175000.0,FC Barcelona,Spain Primera Division,Spain,CB
197781,Isco,Francisco Román Alarcón Suárez,29,82,82,30000000.0,175000.0,Real Madrid CF,Spain Primera Division,Spain,CAM
239818,Rúben Dias,Rúben dos Santos Gato Alves Dias,24,87,91,102500000.0,170000.0,Manchester City,English Premier League,Portugal,CB
205498,Jorginho,Luiz Frello Filho Jorge,29,85,85,52500000.0,170000.0,Chelsea,English Premier League,Italy,CM
188377,K. Walker,Kyle Walker,31,85,85,39000000.0,170000.0,Manchester City,English Premier League,England,RB
208670,H. Ziyech,Hakim Ziyech,28,84,84,42500000.0,170000.0,Chelsea,English Premier League,Morocco,RW
228618,F. Mendy,Ferland Mendy,26,83,86,43500000.0,170000.0,Real Madrid CF,Spain Primera Division,France,LB
173731,G. Bale,Gareth Frank Bale,31,82,82,25000000.0,170000.0,Real Madrid CF,Spain Primera Division,Wales,RM
208618,Lucas Vázquez,Lucas Vázquez Iglesias,30,81,81,25000000.0,170000.0,Real Madrid CF,Spain Primera Division,Spain,RW
209499,Fabinho,Fábio Henrique Tavares,27,86,88,73500000.0,165000.0,Liverpool,English Premier League,Brazil,CDM
231443,O. Dembélé,Ousmane Dembélé,24,83,88,55000000.0,165000.0,FC Barcelona,Spain Primera Division,France,RW
189242,Coutinho,Philippe Coutinho Correia,29,82,82,30000000.0,165000.0,FC Barcelona,Spain Primera Division,Brazil,CAM
212622,J. Kimmich,Joshua Walter Kimmich,26,89,90,108000000.0,160000.0,FC Bayern München,German 1. Bundesliga,Germany,CDM
211110,P. Dybala,Paulo Bruno Exequiel Dybala,27,87,88,93000000.0,160000.0,Juventus,Italian Serie A,Argentina,CF
183898,Á. Di María,Ángel Fabián Di María Hernández,33,87,87,49500000.0,160000.0,Paris Saint-Germain,French Ligue 1,Argentina,RW
239053,F. Valverde,Federico Santiago Valverde Dipetta,22,83,89,58000000.0,160000.0,Real Madrid CF,Spain Primera Division,Uruguay,CM
199556,M. Verratti,Marco Verratti,28,87,87,79500000.0,155000.0,Paris Saint-Germain,French Ligue 1,Italy,CM
212188,T. Werner,Timo Werner,25,84,87,56500000.0,155000.0,Chelsea,English Premier League,Germany,ST
203263,H. Maguire,Harry Maguire,28,84,86,42500000.0,155000.0,Manchester United,English Premier League,England,CB
180206,M. Pjanić,Miralem Pjanić,31,82,82,25000000.0,155000.0,Beşiktaş JK,Turkish Süper Lig,Bosnia and Herzegovina,CM
233049,J. Sancho,Jadon Sancho,21,87,91,116500000.0,150000.0,Manchester United,English Premier League,England,RM
231281,T. Alexander-Arnold,Trent Alexander-Arnold,22,87,92,114000000.0,150000.0,Liverpool,English Premier League,England,RB
232363,M. Škriniar,Milan Škriniar,26,86,88,74000000.0,150000.0,Inter,Italian Serie A,Slovakia,CB
231677,M. Rashford,Marcus Rashford,23,85,89,77500000.0,150000.0,Manchester United,English Premier League,England,LM
230666,Gabriel Jesus,Gabriel Fernando de Jesus,24,83,87,52500000.0,150000.0,Manchester City,English Premier League,Brazil,ST
231478,L. Martínez,Lautaro Javier Martínez,23,85,89,78000000.0,145000.0,Inter,Italian Serie A,Argentina,ST
