club_name,avg_speed,n_players
Juventus,73.15384615384616,26
FC Red Bull Salzburg,72.75,28
Manchester City,72.03125,32
Napoli,72.0,26
SK Slavia Praha,71.89285714285714,28
New York Red Bulls,71.88,25
São Paulo,71.65,20
Paris Saint-Germain,71.57575757575758,33
Olympiacos CFP,71.5,28
FC Porto,71.46153846153847,26
FK Bodø/Glimt,71.4074074074074,27
SL Benfica,71.27586206896552,29
OGC Nice,71.25925925925925,27
Vélez Sarsfield,71.25,28
Manchester United,71.21212121212122,33
Real Madrid CF,71.21212121212122,33
Molde FK,71.15384615384616,26
Arsenal,71.06060606060606,33
AC Milan,71.0,28
Shakhtar Donetsk,70.85714285714286,28
Trabzonspor,70.75,28
FC Bayern München,70.46428571428571,28
Orlando Pirates,70.46428571428571,28
Palmeiras,70.4,20
FC Nordsjælland,70.38461538461539,26
FC Barcelona,70.33333333333333,33
Borussia Dortmund,70.3225806451613,31
Jeonbuk Hyundai Motors,70.21428571428571,28
RCD Espanyol de Barcelona,70.12121212121212,33
Atlético de Madrid,70.09375,32
