league_name,avg_dribbling,n_players
Italian Serie A,69.63762376237624,563
Spain Primera Division,69.42151675485009,633
Czech Republic Gambrinus Liga,69.38571428571429,79
English Premier League,69.125,652
German 1. Bundesliga,68.36270491803279,551
French Ligue 1,68.06719367588933,577
Greek Super League,67.54901960784314,112
Ukrainian Premier League,66.92,56
Campeonato Brasileiro Série A,66.55555555555556,360
Russian Premier League,66.47887323943662,82
Turkish Süper Lig,65.93374741200829,543
Portuguese Liga ZON SAGRES,65.6829268292683,505
Croatian Prva HNL,64.85714285714286,56
Argentina Primera División,64.78187403993856,727
Holland Eredivisie,64.75294117647059,492
Hungarian Nemzeti Bajnokság I,64.44,28
Belgian Jupiler Pro League,64.27777777777777,488
Mexican Liga MX,64.02059496567506,488
South African Premier Division,63.916666666666664,56
Spanish Segunda División,63.642728904847395,625
German 2. Bundesliga,62.79515418502203,510
USA Major League Soccer,62.59411764705882,771
English League Championship,62.56896551724138,717
Italian Serie B,62.34166666666667,132
Swiss Super League,61.958847736625515,270
Scottish Premiership,61.954385964912284,320
UAE Arabian Gulf League,61.8,28
Japanese J. League Division 1,61.669921875,589
French Ligue 2,61.52542372881356,529
Paraguayan Primera División,61.209150326797385,174
Cypriot First Division,61.12,28
Danish Superliga,60.87412587412587,318
Austrian Football Bundesliga,60.60689655172414,330
Chilian Campeonato Nacional,60.411764705882355,155
Finnish Veikkausliiga,59.82608695652174,25
Saudi Abdul L. Jameel League,59.71256038647343,468
English League One,59.70284697508897,626
Colombian Liga Postobón,59.65269461077844,191
Norwegian Eliteserien,59.598885793871865,401
Korean K League 1,59.55481727574751,336
Peruvian Primera División,59.436619718309856,163
German 3. Bundesliga,59.4120082815735,542
Swedish Allsvenskan,59.36,393
Ecuadorian Serie A,59.306666666666665,171
Liga de Fútbol Profesional Boliviano,59.18452380952381,187
Polish T-Mobile Ekstraklasa,59.002262443438916,496
Uruguayan Primera División,58.6271186440678,132
Australian Hyundai A-League,58.60162601626016,277
Romanian Liga I,58.292929292929294,442
English League Two,57.793103448275865,613
Chinese Super League,56.36479591836735,446
Venezuelan Primera División,56.18181818181818,161
English National League,56.0,27
Rep. Ireland Airtricity League,53.88793103448276,258
Indian Super League,53.11740890688259,279
