task,path,exists,size,head_rows,mtime
Task17,out/tables/EDA_categorical_cardinality.csv,True,92,1,Tue Sep 16 17:43:58 2025
Task17,out/tables/EDA_contamination.csv,True,75,1,Tue Sep 16 17:45:50 2025
Task17,out/tables/EDA_core_strong_corr.csv,True,8,0,Tue Sep 16 17:45:50 2025
Task17,out/tables/EDA_nulls.csv,True,2045,3,Tue Sep 16 17:45:50 2025
Task17,out/tables/EDA_pos_count.csv,True,138,3,Tue Sep 16 17:45:50 2025
Task17,out/tables/EDA_quantiles_core.csv,True,281,3,Tue Sep 16 17:45:50 2025
Task17,out/tables/EDA_range_violations.csv,True,75,1,Tue Sep 16 17:45:50 2025
Task17,out/tables/EDA_role_group_count.csv,True,48,3,Tue Sep 16 17:45:50 2025
Task17,out/tables/EDA_strong_corr_all_pearson.csv,True,1610,3,Tue Sep 16 17:45:50 2025
Task17,out/tables/EDA_strong_corr_all_spearman.csv,True,810,3,Tue Sep 16 17:45:51 2025
Task17,out/tables/EDA_types.csv,True,1841,3,Tue Sep 16 17:45:50 2025
Task17,out/tables/Task17_high_overall_but_weak_core_attrs.csv,True,1773,3,Tue Sep 16 17:47:14 2025
Task17,out/tables/Task17_missing_bodymetrics.csv,True,53,0,Tue Sep 16 17:47:13 2025
Task17,out/tables/Task17_role_extremes_height_weight.csv,True,30073,3,Tue Sep 16 17:47:13 2025
Task17,out/tables/Task17_value_outliers_byrole.csv,True,1807,3,Tue Sep 16 17:47:14 2025
Task17,out/tables/Task17_wage_outliers_byrole.csv,True,2363,3,Tue Sep 16 17:47:14 2025
Task18,out/tables/Task18_featset_A_list.csv,True,842,3,Tue Sep 16 17:47:16 2025
Task18,out/tables/Task18_featset_B_list.csv,True,842,3,Tue Sep 16 17:43:50 2025
Task18,out/tables/Task18_features_base.csv,True,9587105,3,Tue Sep 16 17:46:01 2025
Task18,out/tables/Task18_features_train.csv,True,9548534,3,Tue Sep 16 17:47:16 2025
Task19,out/tables/Task19_feature_ranks_B.csv,True,3377,3,Tue Sep 16 17:49:05 2025
Task19,out/tables/Task19_selected_features_B.csv,True,717,3,Tue Sep 16 17:49:05 2025
