club_name,avg_overall,n_players
Juventus,79.96153846153847,26
Paris Saint-Germain,79.45454545454545,33
Inter,78.85714285714286,28
FC Bayern München,78.07142857142857,28
Manchester United,78.0,33
Real Madrid CF,77.75757575757575,33
Napoli,77.5,26
Atalanta,77.48,25
Real Sociedad,77.28,25
SL Benfica,76.93103448275862,29
Manchester City,76.90625,32
FC Barcelona,76.78787878787878,33
Atlético de Madrid,76.71875,32
AC Milan,76.71428571428571,28
Chelsea,76.36363636363636,33
FC Porto,76.15384615384616,26
Liverpool,75.96969696969697,33
Sevilla FC,75.84848484848484,33
Borussia Dortmund,75.6774193548387,31
Sporting CP,75.48,25
Flamengo,75.4,20
Real Betis Balompié,75.12121212121212,33
AS Monaco,75.11111111111111,27
Leicester City,75.0,33
Bayer 04 Leverkusen,74.88888888888889,27
Villarreal CF,74.87878787878788,33
Lazio,74.78125,32
Clube Atlético Mineiro,74.2,20
Tottenham Hotspur,74.0909090909091,33
Palmeiras,74.0,20
Everton,73.87878787878788,33
Olympique Lyonnais,73.86666666666666,30
Ajax,73.82758620689656,29
Athletic Club de Bilbao,73.73333333333333,30
Roma,73.65625,32
Arsenal,73.63636363636364,33
RB Bragantino,73.45,20
São Paulo,73.45,20
Fiorentina,73.4074074074074,27
SK Slavia Praha,73.28571428571429,28
RB Leipzig,73.28125,32
LOSC Lille,73.26666666666667,30
Internacional,73.15,20
VfL Wolfsburg,72.96875,32
Valencia CF,72.93939393939394,33
RCD Espanyol de Barcelona,72.84848484848484,33
Levante Unión Deportiva,72.81818181818181,33
PSV,72.76666666666667,30
River Plate,72.75,28
U.S. Sassuolo Calcio,72.74074074074075,27
OGC Nice,72.70370370370371,27
U.C. Sampdoria,72.6,25
Hellas Verona,72.48148148148148,27
Olympiacos CFP,72.42857142857143,28
Eintracht Frankfurt,72.35483870967742,31
Udinese Calcio,72.34615384615384,26
Grêmio,72.3,20
Fenerbahçe SK,72.28571428571429,28
CA Osasuna,72.21212121212122,33
Club Athletico Paranaense,72.2,20
West Ham United,72.18181818181819,33
Granada CF,72.15151515151516,33
Stade Rennais FC,72.07407407407408,27
AC Sparta Praha,72.03846153846153,26
Real Valladolid CF,72.0,30
Beşiktaş JK,71.96551724137932,29
Shakhtar Donetsk,71.89285714285714,28
TSG Hoffenheim,71.87878787878788,33
Boca Juniors,71.85714285714286,28
Sport Club Corinthians Paulista,71.8,20
Dynamo Kyiv,71.78571428571429,28
Club Brugge KV,71.71428571428571,28
Santos,71.7,20
Borussia Mönchengladbach,71.60606060606061,33
Getafe CF,71.56666666666666,30
Deportivo Alavés,71.55555555555556,27
Trabzonspor,71.53571428571429,28
Torino F.C.,71.51612903225806,31
Fluminense,71.5,20
Rangers FC,71.42857142857143,28
Racing Club,71.39285714285714,28
Newcastle United,71.36363636363636,33
Fulham,71.3,30
PAOK,71.28571428571429,28
Club América,71.26923076923077,26
Fortaleza,71.25,20
RC Strasbourg Alsace,71.24,25
Elche CF,71.2,30
SC Braga,71.2,30
Watford,71.2,30
RCD Mallorca,71.12121212121212,33
RC Celta de Vigo,71.0909090909091,33
Aston Villa,71.03225806451613,31
Cádiz CF,71.0,32
Tigres U.A.N.L.,71.0,25
Sport-Club Freiburg,70.96153846153847,26
Bologna,70.93103448275862,29
Cagliari,70.93103448275862,29
Rayo Vallecano,70.90322580645162,31
Hertha BSC,70.84375,32
