club_name,avg_overall_xi,players_ids,n_selected
Manchester City,86.81818181818181,"[np.int64(210257), np.int64(239818), np.int64(212218), np.int64(210514), np.int64(188377), np.int64(192985), np.int64(231866), np.int64(218667), np.int64(186942), np.int64(202652), np.int64(204485)]",11
Paris Saint-Germain,86.36363636363636,"[np.int64(230621), np.int64(155862), np.int64(207865), np.int64(235212), np.int64(225850), np.int64(199556), np.int64(181291), np.int64(193474), np.int64(207439), np.int64(158023), np.int64(231747)]",11
Liverpool,86.27272727272727,"[np.int64(212831), np.int64(203376), np.int64(231281), np.int64(216267), np.int64(197061), np.int64(209499), np.int64(189509), np.int64(183711), np.int64(220971), np.int64(208722), np.int64(209331)]",11
Real Madrid CF,85.81818181818181,"[np.int64(192119), np.int64(204963), np.int64(197445), np.int64(228618), np.int64(240130), np.int64(200145), np.int64(182521), np.int64(177003), np.int64(239053), np.int64(165153), np.int64(183277)]",11
Manchester United,85.81818181818181,"[np.int64(193080), np.int64(201535), np.int64(203263), np.int64(205988), np.int64(229880), np.int64(212198), np.int64(233049), np.int64(195864), np.int64(231677), np.int64(20801), np.int64(179813)]",11
Atlético de Madrid,85.27272727272727,"[np.int64(200389), np.int64(216460), np.int64(186345), np.int64(204639), np.int64(207863), np.int64(226161), np.int64(193747), np.int64(208418), np.int64(213565), np.int64(176580), np.int64(194765)]",11
FC Bayern München,85.0909090909091,"[np.int64(167495), np.int64(220814), np.int64(229558), np.int64(234396), np.int64(212190), np.int64(212622), np.int64(209658), np.int64(189596), np.int64(213345), np.int64(188545), np.int64(183569)]",11
FC Barcelona,84.63636363636364,"[np.int64(192448), np.int64(189332), np.int64(152729), np.int64(220440), np.int64(199564), np.int64(228702), np.int64(189511), np.int64(189242), np.int64(251854), np.int64(153079), np.int64(202556)]",11
Chelsea,84.54545454545455,"[np.int64(234642), np.int64(164240), np.int64(205452), np.int64(184432), np.int64(229984), np.int64(215914), np.int64(205498), np.int64(235790), np.int64(233064), np.int64(192505), np.int64(212188)]",11
Juventus,83.81818181818181,"[np.int64(186153), np.int64(138956), np.int64(235243), np.int64(184344), np.int64(191043), np.int64(230658), np.int64(222077), np.int64(210008), np.int64(186561), np.int64(211110), np.int64(235805)]",11
Inter,83.54545454545455,"[np.int64(162835), np.int64(232363), np.int64(198176), np.int64(233096), np.int64(237383), np.int64(224232), np.int64(216352), np.int64(208128), np.int64(190460), np.int64(231478), np.int64(180930)]",11
Sevilla FC,82.9090909090909,"[np.int64(209981), np.int64(146536), np.int64(224334), np.int64(241486), np.int64(219693), np.int64(143076), np.int64(184134), np.int64(168651), np.int64(193283), np.int64(205632), np.int64(235410)]",11
Borussia Dortmund,82.54545454545455,"[np.int64(189117), np.int64(178603), np.int64(209889), np.int64(229237), np.int64(238476), np.int64(188350), np.int64(177413), np.int64(208333), np.int64(203486), np.int64(239085), np.int64(231447)]",11
Leicester City,82.18181818181819,"[np.int64(163587), np.int64(210243), np.int64(232119), np.int64(169588), np.int64(222501), np.int64(226790), np.int64(216393), np.int64(220697), np.int64(234742), np.int64(208830), np.int64(225719)]",11
