sofifa_id,short_name,long_name,age,overall,potential,value_eur,wage_eur,club_name,league_name,nationality_name,primary_position
167495,M. Neuer,Manuel Peter Neuer,35,90,90,13500000.0,86000.0,FC Bayern München,German 1. Bundesliga,Germany,GK
230621,G. Donnarumma,Gianluigi Donnarumma,22,89,93,119500000.0,110000.0,Paris Saint-Germain,French Ligue 1,Italy,GK
155862,Sergio Ramos,Sergio Ramos García,35,88,88,24000000.0,115000.0,Paris Saint-Germain,French Ligue 1,Spain,CB
239085,E. Haaland,Erling Braut Haaland,20,88,93,137500000.0,110000.0,Borussia Dortmund,German 1. Bundesliga,Norway,ST
186153,W. Szczęsny,Wojciech Tomasz Szczęsny,31,87,87,42000000.0,105000.0,Juventus,Italian Serie A,Poland,GK
138956,G. Chiellini,Giorgio Chiellini,36,86,86,12000000.0,88000.0,Juventus,Italian Serie A,Italy,CB
162835,S. Handanovič,Samir Handanovič,36,86,86,7500000.0,78000.0,Inter,Italian Serie A,Slovenia,GK
178603,M. Hummels,Mats Hummels,32,86,86,44000000.0,95000.0,Borussia Dortmund,German 1. Bundesliga,Germany,CB
189513,Parejo,Daniel Parejo Muñoz,32,86,86,53500000.0,64000.0,Villarreal CF,Spain Primera Division,Spain,CM
192984,K. Casteels,Koen Casteels,29,86,87,52000000.0,88000.0,VfL Wolfsburg,German 1. Bundesliga,Belgium,GK
198219,L. Insigne,Lorenzo Insigne,30,86,86,65500000.0,125000.0,Napoli,Italian Serie A,Italy,LW
201024,K. Koulibaly,Kalidou Koulibaly,30,86,86,55500000.0,105000.0,Napoli,Italian Serie A,Senegal,CB
208093,Gerard Moreno,Gerard Moreno Balagueró,29,86,86,68000000.0,73000.0,Villarreal CF,Spain Primera Division,Spain,ST
213345,K. Coman,Kingsley Junior Coman,25,86,87,81000000.0,120000.0,FC Bayern München,German 1. Bundesliga,France,LM
226161,Marcos Llorente,Marcos Llorente Moreno,26,86,89,88000000.0,95000.0,Atlético de Madrid,Spain Primera Division,Spain,CM
143076,A. Gómez,Alejandro Darío Gómez,33,85,85,33500000.0,51000.0,Sevilla FC,Spain Primera Division,Argentina,CAM
163587,K. Schmeichel,Kasper Peter Schmeichel,34,85,85,9000000.0,115000.0,Leicester City,English Premier League,Denmark,GK
164240,Thiago Silva,Thiago Emiliano da Silva,36,85,85,9500000.0,105000.0,Chelsea,English Premier League,Brazil,CB
168542,David Silva,David Josué Jiménez Silva,35,85,85,22000000.0,44000.0,Real Sociedad,Spain Primera Division,Spain,CAM
177683,Y. Sommer,Yann Sommer,32,85,85,26500000.0,40000.0,Borussia Mönchengladbach,German 1. Bundesliga,Switzerland,GK
184344,L. Bonucci,Leonardo Bonucci,34,85,85,17500000.0,110000.0,Juventus,Italian Serie A,Italy,CB
185122,P. Gulácsi,Péter Gulácsi,31,85,85,28500000.0,87000.0,RB Leipzig,German 1. Bundesliga,Hungary,GK
188350,M. Reus,Marco Reus,32,85,85,43000000.0,95000.0,Borussia Dortmund,German 1. Bundesliga,Germany,CAM
193747,Koke,Jorge Resurrección Merodio,29,85,85,52500000.0,90000.0,Atlético de Madrid,Spain Primera Division,Spain,CM
206113,S. Gnabry,Serge David Gnabry,25,85,86,64500000.0,110000.0,FC Bayern München,German 1. Bundesliga,Germany,RM
223848,S. Milinković-Savić,Sergej Milinković-Savić,26,85,87,66000000.0,100000.0,Lazio,Italian Serie A,Serbia,CM
226790,W. Ndidi,Onyinye Wilfred Ndidi,24,85,88,66500000.0,120000.0,Leicester City,English Premier League,Nigeria,CDM
230142,Oyarzabal,Mikel Oyarzabal Ugarte,24,85,89,77500000.0,57000.0,Real Sociedad,Spain Primera Division,Spain,LW
235212,A. Hakimi,Achraf Hakimi Mouh,22,85,88,69500000.0,100000.0,Paris Saint-Germain,French Ligue 1,Morocco,RB
235243,M. de Ligt,Matthijs de Ligt,21,85,90,75000000.0,81000.0,Juventus,Italian Serie A,Netherlands,CB
232656,T. Hernández,Theo Bernard François Hernández,23,84,90,62500000.0,51000.0,AC Milan,Italian Serie A,France,LB
237692,P. Foden,Philip Foden,21,84,92,94500000.0,125000.0,Manchester City,English Premier League,England,CAM
