sofifa_id,short_name,long_name,age,overall,potential,value_eur,wage_eur,club_name,league_name,nationality_name,primary_position
152729,Piqué,Gerard Piqué Bernabéu,34,84,84,13500000.0,175000.0,FC Barcelona,Spain Primera Division,Spain,CB
183711,J. Henderson,Jordan Henderson,31,84,84,29500000.0,140000.0,Liverpool,English Premier League,England,CDM
197445,D. Alaba,David Olatukunbo Alaba,29,84,84,35500000.0,195000.0,Real Madrid CF,Spain Primera Division,Austria,CB
203263,H. Maguire,Harry Maguire,28,84,86,42500000.0,155000.0,Manchester United,English Premier League,England,CB
205988,L. Shaw,Luke Shaw,25,84,86,48500000.0,140000.0,Manchester United,English Premier League,England,LB
206517,J. Grealish,Jack Grealish,25,84,85,50500000.0,180000.0,Manchester City,English Premier League,England,LW
208670,H. Ziyech,Hakim Ziyech,28,84,84,42500000.0,170000.0,Chelsea,English Premier League,Morocco,RW
210243,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,27,84,84,40500000.0,130000.0,Leicester City,English Premier League,Portugal,RB
212188,T. Werner,Timo Werner,25,84,87,56500000.0,155000.0,Chelsea,English Premier League,Germany,ST
216352,M. Brozović,Marcelo Brozović,28,84,84,37000000.0,130000.0,Inter,Italian Serie A,Croatia,CDM
197061,J. Matip,Joël Andre Job Matip,29,83,83,30500000.0,130000.0,Liverpool,English Premier League,Cameroon,CB
203574,J. Stones,John Stones,27,83,86,41000000.0,140000.0,Manchester City,English Premier League,England,CB
205452,A. Rüdiger,Antonio Rüdiger,28,83,84,34500000.0,130000.0,Chelsea,English Premier League,Germany,CB
207410,M. Kovačić,Mateo Kovačić,27,83,84,41500000.0,135000.0,Chelsea,English Premier League,Croatia,CM
220834,Marco Asensio,Marco Asensio Willemsen,25,83,86,48000000.0,190000.0,Real Madrid CF,Spain Primera Division,Spain,RW
228618,F. Mendy,Ferland Mendy,26,83,86,43500000.0,170000.0,Real Madrid CF,Spain Primera Division,France,LB
230666,Gabriel Jesus,Gabriel Fernando de Jesus,24,83,87,52500000.0,150000.0,Manchester City,English Premier League,Brazil,ST
231443,O. Dembélé,Ousmane Dembélé,24,83,88,55000000.0,165000.0,FC Barcelona,Spain Primera Division,France,RW
239053,F. Valverde,Federico Santiago Valverde Dipetta,22,83,89,58000000.0,160000.0,Real Madrid CF,Spain Primera Division,Uruguay,CM
173731,G. Bale,Gareth Frank Bale,31,82,82,25000000.0,170000.0,Real Madrid CF,Spain Primera Division,Wales,RM
180206,M. Pjanić,Miralem Pjanić,31,82,82,25000000.0,155000.0,Beşiktaş JK,Turkish Süper Lig,Bosnia and Herzegovina,CM
189242,Coutinho,Philippe Coutinho Correia,29,82,82,30000000.0,165000.0,FC Barcelona,Spain Primera Division,Brazil,CAM
197781,Isco,Francisco Román Alarcón Suárez,29,82,82,30000000.0,175000.0,Real Madrid CF,Spain Primera Division,Spain,CAM
212462,Alex Telles,Alex Nicolao Telles,28,82,82,27500000.0,130000.0,Manchester United,English Premier League,Brazil,LB
220440,C. Lenglet,Clément Nicolas Laurent Lenglet,26,82,86,37500000.0,145000.0,FC Barcelona,Spain Primera Division,France,CB
240130,Éder Militão,Éder Gabriel Militão,23,82,89,56500000.0,130000.0,Real Madrid CF,Spain Primera Division,Brazil,CB
199564,Sergi Roberto,Sergio Roberto Carnicer,29,81,81,22500000.0,140000.0,FC Barcelona,Spain Primera Division,Spain,RB
200724,Nacho Fernández,José Ignacio Fernández Iglesias,31,81,81,17500000.0,140000.0,Real Madrid CF,Spain Primera Division,Spain,CB
208618,Lucas Vázquez,Lucas Vázquez Iglesias,30,81,81,25000000.0,170000.0,Real Madrid CF,Spain Primera Division,Spain,RW
211300,A. Martial,Anthony Martial,25,81,84,34500000.0,130000.0,Manchester United,English Premier League,France,ST
176676,Marcelo,Marcelo Vieira da Silva Júnior,33,80,80,11000000.0,135000.0,Real Madrid CF,Spain Primera Division,Brazil,LB
232432,L. Jović,Luka Jović,23,79,84,27000000.0,130000.0,Real Madrid CF,Spain Primera Division,Serbia,ST
