sofifa_id,short_name,long_name,age,overall,potential,value_eur,wage_eur,club_name,league_name,nationality_name,primary_position
158023,L. Messi,Lionel Andrés Messi Cuccittini,34,93,93,78000000.0,320000.0,Paris Saint-Germain,French Ligue 1,Argentina,RW
188545,R. Lewandowski,Robert Lewandowski,32,92,92,119500000.0,270000.0,FC Bayern München,German 1. Bundesliga,Poland,ST
231747,K. Mbappé,Kylian Mbappé Lottin,22,91,95,194000000.0,230000.0,Paris Saint-Germain,French Ligue 1,France,ST
200389,J. Oblak,Jan Oblak,28,91,93,112000000.0,130000.0,Atlético de Madrid,Spain Primera Division,Slovenia,GK
192985,K. De Bruyne,Kevin De Bruyne,30,91,91,125500000.0,350000.0,Manchester City,English Premier League,Belgium,CM
190871,Neymar Jr,Neymar da Silva Santos Júnior,29,91,91,129000000.0,270000.0,Paris Saint-Germain,French Ligue 1,Brazil,LW
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,36,91,91,45000000.0,270000.0,Manchester United,English Premier League,Portugal,ST
192448,M. ter Stegen,Marc-André ter Stegen,29,90,92,99000000.0,250000.0,FC Barcelona,Spain Primera Division,Germany,GK
202126,H. Kane,Harry Kane,27,90,90,129500000.0,240000.0,Tottenham Hotspur,English Premier League,England,ST
215914,N. Kanté,N'Golo Kanté,30,90,90,100000000.0,230000.0,Chelsea,English Premier League,France,CDM
167495,M. Neuer,Manuel Peter Neuer,35,90,90,13500000.0,86000.0,FC Bayern München,German 1. Bundesliga,Germany,GK
230621,G. Donnarumma,Gianluigi Donnarumma,22,89,93,119500000.0,110000.0,Paris Saint-Germain,French Ligue 1,Italy,GK
192119,T. Courtois,Thibaut Courtois,29,89,91,85500000.0,250000.0,Real Madrid CF,Spain Primera Division,Belgium,GK
210257,Ederson,Ederson Santana de Moraes,27,89,91,94000000.0,200000.0,Manchester City,English Premier League,Brazil,GK
212831,Alisson,Alisson Ramsés Becker,28,89,90,82000000.0,190000.0,Liverpool,English Premier League,Brazil,GK
212622,J. Kimmich,Joshua Walter Kimmich,26,89,90,108000000.0,160000.0,FC Bayern München,German 1. Bundesliga,Germany,CDM
165153,K. Benzema,Karim Benzema,33,89,89,66000000.0,350000.0,Real Madrid CF,Spain Primera Division,France,CF
200145,Casemiro,Carlos Henrique Venancio Casimiro,29,89,89,88000000.0,310000.0,Real Madrid CF,Spain Primera Division,Brazil,CDM
208722,S. Mané,Sadio Mané,29,89,89,101000000.0,270000.0,Liverpool,English Premier League,Senegal,LW
209331,M. Salah,Mohamed Salah Ghaly,29,89,89,101000000.0,270000.0,Liverpool,English Premier League,Egypt,RW
203376,V. van Dijk,Virgil van Dijk,29,89,89,86000000.0,230000.0,Liverpool,English Premier League,Netherlands,CB
200104,H. Son,손흥민 孙兴慜,28,89,89,104000000.0,220000.0,Tottenham Hotspur,English Premier League,Korea Republic,LM
239085,E. Haaland,Erling Braut Haaland,20,88,93,137500000.0,110000.0,Borussia Dortmund,German 1. Bundesliga,Norway,ST
202652,R. Sterling,Raheem Sterling,26,88,89,107500000.0,290000.0,Manchester City,English Premier League,England,LW
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,26,88,89,107500000.0,250000.0,Manchester United,English Premier League,Portugal,CAM
182521,T. Kroos,Toni Kroos,31,88,88,75000000.0,310000.0,Real Madrid CF,Spain Primera Division,Germany,CM
